Year,Area,Season,Production,Extent,Air Temp(Mean),Relative Humidity-D,Relative Humidity-N,Rainfall
2010,Hambantota,Yala,14,1,28.53,78,89.5,70.68
2010,Mannar,Yala,23,3,29.25,77.5,84,23.83
2010,Vavuniya,Yala,127,12,29.83,68.5,87.25,24.75
2010,Puttalam,Yala,108,7,28.95,75.25,87.25,38.03
2010,Jaffna,Yala,166,19,30.1,74,,64.2
2010,Kururnegala,Yala,888,148,27.5,75.25,86.75,124.33
2010,Anuradhapura,Yala,19151,1197,29.45,68.25,88.5,57.75
2010,Badulla,Yala,4,1,24.7,69.25,88.25,99.2
2010,Ratnapura,Yala,24,5,27.33,80.5,92.5,465.72
2011,Hambantota,Maha,74,32,27.45,80,90.75,173.58
2011,Mannar,Maha,20,3,26.75,80.5,87.25,215.08
2011,Jaffna,Maha,1232,108,26.58,79.5,85,266.03
2011,Kururnegala,Maha,12,29,25.68,75,89.5,331.7
2011,Anuradhapura,Maha,163,13,26.5,76.5,92.75,283.45
2011,Polonnaruwa,Maha,8,1,28.3,68,88,663
2011,Hambantota,Yala,28,1,28.73,77,89,41.83
2011,Vavuniya,Yala,217,21,29.68,67.75,87.25,53.48
2011,Trincomalee,Yala,13,2,26.9,,,28.95
2011,Puttalam,Yala,6,1,29.13,73.75,85.5,10.8
2011,Jaffna,Yala,519,56,29.9,72.5,81.75,7.25
2011,Mannar,Yala,42,5,29.18,76,83.5,27.7
2011,Kururnegala,Yala,821,137,27.73,71,84.25,102.8
2011,Anuradhapura,Yala,12268,916,29.73,66,86.25,5.4
2011,Polonnaruwa,Yala,456,38,30.53,59,77.75,30.25
2011,Badulla,Yala,5,1,24.65,64.75,83.25,49.43
2012,Jaffna,Maha,638,74,26.5,71,85,6.4
2012,Mannar,Maha,86,10,27.1,73,85,
2012,Vavuniya,Maha,43,3,26.48,70,88,
2012,Kururnegala,Maha,90,22,26.4,70,86,
2012,Anuradhapura,Maha,91,10,27.1,67,89,
2012,Polonnaruwa,Maha,373,26,26.53,77.33,97.33,
2012,Trincomalee,Maha,6,1,29.2,68,83,
2012,Hambantota,Yala,40,3,28.3,78.5,89.5,49.38
2012,Jaffna,Yala,645,59,30.18,76,84.5,4.6
2012,Vavuniya,Yala,292,19,30.2,64.5,85,11.88
2012,Mannar,Yala,115,14,29.38,76.25,83.75,0
2012,Kururnegala,Yala,871,145,28.4,70,84.75,76.78
2012,Anuradhapura,Yala,24325,1294,30.05,61.5,85.75,12.05
2012,Polonnaruwa,Yala,2184,135,31.13,54.75,72.75,17.6
2012,Badulla,Yala,6,1,24.83,59.5,80.5,36.15
2013,Puttalam,Maha,21,2,26.65,76.75,93,229.95
2013,Vavuniya,Maha,426,27,26.4,79.25,92.5,349.3
2013,Jaffna,Maha,355,64,26.8,75.25,88.25,215.33
2013,Mannar,Maha,28,3,27.03,80,88,221.65
2013,Kururnegala,Maha,66,13,26.9,74.75,89.5,330.85
2013,Anuradhapura,Maha,182,20,26.85,77,92.5,430.78
2013,Polonnaruwa,Maha,278,19,26.6,79.25,95.75,462.8
2013,Badulla,Maha,7,1,22.18,80.75,93.5,300.25
2013,Ratnapura,Maha,23,2,27.23,78,95.5,324.38
2013,Nuwara Eliya,Yala,12,1,16.28,87.75,95,239.75
2013,Hambantota,Yala,14,1,28.2,76.75,89.25,53.93
2013,Jaffna,Yala,751,83,29.6,72.25,82.75,32.05
2013,Vavuniya,Yala,666,43,29.15,69.25,84.5,57.58
2013,Puttalam,Yala,94,5,29,72.75,84.25,13.78
2013,Trincomalee,Yala,13,3,29.78,64.5,80.25,72.83
2013,Mannar,Yala,110,13,28.93,76.75,84,15.48
2013,Kururnegala,Yala,807,135,28.33,75.5,86.75,129.08
2013,Anuradhapura,Yala,18078,1094,29.33,65.5,86,33.65
2013,Polonnaruwa,Yala,1789,125,30.2,59.67,73.33,47.18
2013,Badulla,Yala,71,6,24.13,69.75,86.5,68.15
2013,Ratnapura,Yala,12,1,27.35,81.25,92.75,374.15
2014,Hambantota,Maha,623,45,27.65,76.75,89.75,52.38
2014,Mannar,Maha,136,16,27.05,77,86.25,116.38
2014,Jaffna,Maha,2370,107,26.53,77.75,89.33,105.95
2014,Vavuniya,Maha,318,21,26.65,76.5,91,174.5
2014,Puttalam,Maha,24,3,26.68,76.75,93,137.53
2014,Ratnapura,Maha,17,1,27.43,77,95.5,257.75
2014,Kururnegala,Maha,97,19,26.88,72,89,137.23
2014,Anuradhapura,Maha,253,17,27,73,91.75,146.45
2014,Polonnaruwa,Maha,242,18,27.1,71.75,91.5,170.13
2014,Badulla,Maha,7,1,22.05,78.75,91.67,169.35
2014,Moneragala,Maha,187,27,26.5,70,86.33,155.48
2014,Nuwara Eliya,Yala,12,1,16.6,83.75,91.75,131.5
2014,Mannar,Yala,238,29,29.38,77,84.5,48.3
2014,Hambantota,Yala,306,28,,73.25,87.75,36.88
2014,Jaffna,Yala,983,112,29.1,71,,49.7
2014,Vavuniya,Yala,311,21,29.8,66.75,,78.5
2014,Trincomalee,Yala,34,7,31.1,65.75,72.33,51.73
2014,Puttalam,Yala,94,5,29.28,77,86.75,41.63
2014,Kururnegala,Yala,565,94,28.28,73.5,,113.75
2014,Anuradhapura,Yala,24947,1921,29.7,65.75,86.75,60.33
2014,Polonnaruwa,Yala,4404.736264,144,30.78,56.25,73.75,47.28
2014,Badulla,Yala,4094.101099,6,24.73,64.75,,81.65
2014,Ratnapura,Yala,3783.465934,1,27.83,79.5,92.5,414.15
2015,Hambantota,Maha,398,36,27.68,79.25,90.75,199.5
2015,Jaffna,Maha,3186,446,25.8,78.5,,177.75
2015,Mannar,Maha,382,31,27,80.75,88.5,165
2015,Vavuniya,Maha,50,10,26.58,79.75,,309.1
2015,Puttalam,Maha,32,2,26.5,80.25,94.5,249.48
2015,Ratnapura,Maha,10,1,27.18,80.25,96,407.05
2015,Kururnegala,Maha,55,26,26.38,70,85,330.28
2015,Anuradhapura,Maha,151,16,26.8,78.5,94,359.4
2015,Polonnaruwa,Maha,150,10,26.55,78.25,92.5,512.28
2015,Badulla,Maha,32,2,22.05,82,,365.98
2015,Moneragala,Maha,14,14,26.23,76,,300.28
2015,Hambantota,Yala,153,9,28.48,79.75,89.5,64.68
2015,Mannar,Yala,459,27,29.23,77.5,82.5,38.63
2015,Jaffna,Yala,1095,98,30.2,73,,78.25
2015,Vavuniya,Yala,298,20,29.78,71,,89.13
2015,Trincomalee,Yala,15,1,30.65,61.5,81.75,46.28
2015,Puttalam,Yala,94,5,29.2,75.25,86.25,65.85
2015,Ratnapura,Yala,35,2,28.03,79,94.25,241.38
2015,Kururnegala,Yala,1173,69,28.68,73,83,82.65
2015,Anuradhapura,Yala,23509,1342,29.58,66.75,87.5,113.75
2015,Polonnaruwa,Yala,2337,234,30.43,59.25,,73.75
2015,Badulla,Yala,102,6,24.33,68.5,,
2015,Moneragala,Yala,17,1,28.57,63.25,,88.45
2016,Hambantota,Maha,108,14,28.03,78.25,90.25,129.68
2016,Jaffna,Maha,2802,200,26.8,80,,227.08
2016,Mannar,Maha,302,31,27.55,80.75,89.25,226.58
2016,Vavuniya,Maha,230,21,26.75,80.5,,234.23
2016,Puttalam,Maha,22,2,27.2,79,95,252.75
2016,Ratnapura,Maha,5,1,27.58,79.75,97.25,356.23
2016,Kururnegala,Maha,26,2,27.28,74.25,,245.35
2016,Anuradhapura,Maha,3559,381,27.2,77.25,93.25,289.83
2016,Polonnaruwa,Maha,278,18,26.88,80.25,,385.3
2016,Badulla,Maha,42,3,22.63,82.75,,
2016,Moneragala,Maha,5,,26.68,77,,291.5
2016,Hambantota,Yala,49,7,29,76,88.75,57.53
2016,Mannar,Yala,273,28,29.3,78.25,85.5,100.25
2016,Jaffna,Yala,652,97,30.28,72.5,,95.35
2016,Vavuniya,Yala,222,16,29.55,71.25,,136.88
2016,Puttalam,Yala,33,2,28.99,76.75,87.5,117.78
2016,Trincomalee,Yala,228,12,30.28,63.25,81,117.85
2016,Kururnegala,Yala,305,20,28.45,73.5,,242.68
2016,Anuradhapura,Yala,10277,718,29.33,67.25,87.5,121.08
2016,Polonnaruwa,Yala,2932,184,30.45,79.67,,73.98
2016,Badulla,Yala,18,3,22.75,68,,123.95
2016,Moneragala,Yala,91,16,28.55,61.5,,107.48
2017,Hambantota,Maha,3,3,27.63,77.75,89.25,116.25
2017,Jaffna,Maha,170,170,26.7,75.5,,171.88
2017,Trincomalee,Maha,1,1,27.33,74,86.5,131.03
2017,Puttalam,Maha,3,3,26.98,74,91.75,103.38
2017,Mannar,Maha,27,27,27.33,79.5,88.25,97.65
2017,Vavuniya,Maha,20,20,26.8,75.25,,174.25
2017,Kururnegala,Maha,3,3,27.23,68.5,,133
2017,Anuradhapura,Maha,4,4,27.23,69.75,91.25,118.85
2017,Polonnaruwa,Maha,9,9,27.18,70,,229.35
2017,Badulla,Maha,4,4,22.3,73.25,,177.3
2017,Ratnapura,Maha,1,1,27.2,74,95,148.45
2017,Hambantota,Yala,2,2,28.65,79.25,90.5,52.85
2017,Mannar,Yala,31,31,29.6,78.75,86.5,19.05
2017,Jaffna,Yala,59,59,30.43,71.5,,30.78
2017,Vavuniya,Yala,24,24,30.15,66.75,,88.93
2017,Kururnegala,Yala,15,15,28.78,72.25,,107.9
2017,Anuradhapura,Yala,779,779,29.95,65.5,87.5,98.08
2017,Polonnaruwa,Yala,72,72,31.05,57.25,,31.83
2017,Badulla,Yala,1,1,25.05,67,,69.05
2017,Ratnapura,Yala,3,3,27.68,80.5,94.25,474.1
2018,Hambantota,Maha,623,45,,78.75,89.75,133.45
2018,Puttalam,Maha,21,2,27.03,77.5,93.75,112.35
